@RELATION csvToArff

@ATTRIBUTE credit_lines_outstanding REAL
@ATTRIBUTE payment_to_incomeratio REAL
@ATTRIBUTE debt_to_incomeratio REAL
@ATTRIBUTE years_employed REAL
@ATTRIBUTE fico_score REAL
@ATTRIBUTE default REAL

@DATA
3,0.061181094,0.158232945,6,739,0
0,0.049338837,0.073971281,4,659,0
2,0.066435398,0.139657895,5,605,0
0,0.057206387,0.060465771,3,637,0
1,0.051281038,0.103960529,6,690,0
1,0.056487476,0.078523733,6,641,0
0,0.043954164,0.065123946,6,761,0
1,0.061075614,0.083682426,6,639,0
1,0.060830491,0.127911841,6,623,0
0,0.073004757,0.072960776,4,622,0
2,0.075086305,0.102348143,8,672,0
0,0.067582854,0.047787996,4,554,0
0,0.060326266,0.01,5,660,0
1,0.053330791,0.126881352,4,622,0
0,0.058344542,0.086028447,4,651,0
0,0.049775642,0.077300419,6,810,0
2,0.046111729,0.133648378,4,624,0
0,0.068011711,0.049162711,6,686,0
1,0.071403768,0.101887801,3,695,0
5,0.064200387,0.26371881,5,610,1
0,0.064992765,0.01,5,655,0
0,0.055004945,0.088940856,4,571,0
2,0.056298029,0.147772704,5,685,0
5,0.06223744,0.255154031,3,538,1
0,0.059900951,0.070583325,4,557,0
1,0.049427518,0.124408743,6,773,0
5,0.060838278,0.268598156,5,575,1
0,0.067168717,0.062389835,3,574,0
0,0.067862746,0.051765195,5,717,0
0,0.094118153,0.083560744,4,634,0
2,0.04158083,0.159327399,4,669,0
1,0.042708245,0.090803592,7,711,0
3,0.056978697,0.212183497,4,651,0
0,0.056605745,0.01,5,681,0
5,0.063544922,0.294208984,3,638,1
4,0.068451301,0.248910736,1,557,1
0,0.054994423,0.080877941,4,563,0
0,0.069960729,0.061795104,5,529,0
1,0.045068903,0.123678944,3,408,0
1,0.063842851,0.122726784,6,689,0
2,0.066553528,0.124357726,5,694,0
1,0.064041346,0.104910278,6,689,0
1,0.029253033,0.105424472,7,658,0
4,0.045859165,0.214757382,7,683,0
2,0.065002264,0.15467241,5,623,0
2,0.047899879,0.134333259,4,625,0
3,0.030412772,0.203528285,5,605,0
0,0.052309321,0.064037163,4,651,0
0,0.067160952,0.086776894,3,547,0
4,0.043392949,0.214845314,5,693,1
0,0.066144895,0.066426307,5,604,0
1,0.0629204,0.112787993,6,696,0
5,0.061851059,0.289362159,3,674,1
1,0.05985363,0.11822054,5,703,0
0,0.060918201,0.034486034,7,693,0
5,0.085337337,0.306486974,3,610,1
1,0.075426754,0.086006469,6,713,0
0,0.05946709,0.01947832,4,644,0
0,0.062523748,0.092509128,4,678,0
5,0.083391834,0.312224749,3,553,1
0,0.056443743,0.017977331,5,674,0
0,0.04457809,0.081579383,4,653,0
4,0.067025573,0.216470679,5,685,1
0,0.078716233,0.092147708,3,584,0
0,0.063800058,0.071671541,6,644,0
2,0.080660844,0.189396852,2,640,0
0,0.068086713,0.074429486,3,644,0
1,0.060275045,0.095807768,7,641,0
3,0.058275209,0.188696848,4,749,0
1,0.050065725,0.060825023,8,793,0
0,0.04548676,0.044340393,6,587,0
5,0.077370331,0.290575117,1,571,1
2,0.050656564,0.153301186,4,748,0
0,0.052609754,0.071620322,5,694,0
5,0.053301168,0.251037004,4,656,1
4,0.058051651,0.227267228,3,541,1
1,0.042336906,0.10260297,4,661,0
1,0.046485032,0.098426467,5,619,0
2,0.060233331,0.162101885,8,708,0
5,0.068374102,0.360920103,2,701,1
1,0.054621051,0.0980506,6,625,0
0,0.060258879,0.037881616,5,644,0
2,0.061967055,0.143183884,4,694,0
2,0.039680455,0.136835001,5,618,0
5,0.085298253,0.257094549,3,641,1
1,0.067777641,0.105961325,5,655,0
0,0.064864557,0.05527707,6,652,0
0,0.073211959,0.074498041,2,700,0
5,0.068413374,0.260344277,4,726,1
0,0.056814562,0.067096951,5,597,0
0,0.056640244,0.012736085,5,686,0
1,0.054658755,0.098927837,7,662,0
2,0.059518259,0.144435594,7,635,0
0,0.059114861,0.090684452,5,742,0
0,0.073697312,0.050230444,2,725,0
1,0.06181336,0.130414367,6,697,0
1,0.051980834,0.094257612,6,650,0
0,0.057300448,0.037631114,6,675,0
5,0.063420399,0.277147747,3,463,1
0,0.050387261,0.070990706,6,649,0
1,0.059659416,0.11875253,6,703,0
0,0.057763373,0.011003053,5,639,0
1,0.081413503,0.109766552,5,675,0
2,0.066404865,0.160335177,3,615,0
0,0.051699296,0.072499748,3,699,0
1,0.037418628,0.115929799,7,611,0
2,0.048155329,0.099228089,8,620,0
0,0.046781938,0.077664088,4,536,0
0,0.061079229,0.080132412,5,668,0
3,0.056782382,0.187345379,4,643,0
0,0.051188152,0.013860616,7,501,0
1,0.06277649,0.107743396,6,630,0
5,0.058045813,0.295117523,6,595,1
2,0.051105838,0.143200109,8,712,0
0,0.046220225,0.039411394,4,554,0
1,0.051082459,0.092999879,4,723,0
3,0.057788194,0.211594623,4,622,0
0,0.07001463,0.071640048,4,713,0
1,0.055359934,0.108049752,3,634,0
2,0.079139343,0.136217489,6,620,0
4,0.061585184,0.269223576,2,622,1
1,0.058178732,0.11539256,6,663,0
5,0.048109824,0.291465257,4,597,1
5,0.051593058,0.276702239,4,544,1
1,0.043735593,0.120036279,6,609,0
1,0.049571705,0.085624588,5,595,0
2,0.081470727,0.167676393,4,697,0
1,0.066425843,0.134408784,3,638,0
1,0.041953946,0.095884609,7,622,0
3,0.059662434,0.188172069,5,732,0
4,0.073145414,0.261005623,2,637,1
0,0.059270452,0.05856748,6,711,0
1,0.050292039,0.09507008,5,590,0
1,0.04850338,0.126549063,6,584,0
3,0.061226493,0.154193779,8,683,0
0,0.093375223,0.093183561,3,587,0
0,0.070493996,0.0661911,3,698,0
1,0.051902044,0.096340324,6,717,0
1,0.050251843,0.112895756,6,712,0
0,0.054556634,0.053543786,4,577,0
0,0.057716521,0.057581776,3,646,0
0,0.05501166,0.084171371,5,617,0
1,0.063666252,0.089676898,4,791,0
1,0.048691103,0.090502148,5,626,0
1,0.053271877,0.09810004,6,749,0
1,0.051966856,0.095273773,6,679,0
1,0.065145768,0.072517932,5,590,0
0,0.056090364,0.07586098,6,689,0
4,0.060111586,0.248550449,3,581,1
0,0.059883479,0.065619449,3,610,0
0,0.057300758,0.024175325,7,654,0
3,0.074593446,0.24554578,2,620,1
0,0.041229264,0.042078503,4,548,0
0,0.066538363,0.099806694,4,594,0
1,0.076444452,0.098104903,6,731,0
5,0.046078283,0.302388046,3,747,1
5,0.050084373,0.286363933,4,592,1
0,0.047558972,0.058231677,6,643,0
2,0.061121828,0.151366646,7,657,0
1,0.083282081,0.105684591,4,658,0
1,0.056589854,0.090702436,5,667,0
0,0.05578216,0.069594998,4,716,0
0,0.057671595,0.052468095,5,632,0
0,0.053057446,0.053118325,7,606,0
0,0.053894348,0.079329815,3,578,0
2,0.056128469,0.135640367,7,758,0
0,0.046523302,0.041141673,3,653,0
0,0.051572099,0.073899861,5,622,0
0,0.057643377,0.072460168,4,691,0
0,0.059088302,0.04630368,5,583,0
5,0.061366328,0.283753645,2,518,1
0,0.055163136,0.054378404,4,525,0
1,0.045516793,0.113975449,5,713,0
4,0.075130526,0.232161781,1,535,1
1,0.055840226,0.081621232,6,615,0
0,0.062083502,0.069027265,7,589,0
5,0.064810253,0.289094744,3,613,1
1,0.043464954,0.117366462,3,530,0
1,0.045295125,0.124916298,6,674,0
0,0.054737824,0.10178937,1,667,0
1,0.056918499,0.119379163,3,587,0
1,0.069106024,0.109215212,6,763,0
0,0.068559145,0.01,3,607,0
1,0.042675854,0.08372147,7,621,0
1,0.044493482,0.094002597,5,610,0
0,0.05682972,0.084594382,4,560,0
0,0.045243067,0.01,2,629,0
2,0.058541557,0.199623786,3,705,0
1,0.071498192,0.116856545,5,687,0
3,0.057647847,0.201543683,5,687,0
0,0.068392613,0.01,2,575,0
1,0.056424291,0.095982751,5,623,0
0,0.03602592,0.025715464,2,743,0
5,0.053848323,0.288984797,3,604,1
0,0.055600237,0.059299847,5,565,0
0,0.065354218,0.075150275,4,634,0
0,0.05198159,0.067618696,4,650,0
0,0.071043451,0.0672557,5,707,0
0,0.038960697,0.069474142,3,686,0
0,0.06928479,0.07583725,4,597,0
5,0.056129743,0.253924425,3,596,1
4,0.067467602,0.214760476,4,679,1
0,0.047823836,0.096018854,4,611,0
0,0.048541182,0.01,7,687,0
0,0.05831433,0.022770174,4,714,0
0,0.054142644,0.087306128,4,503,0
1,0.039859305,0.096293799,8,700,0
0,0.062048565,0.060832291,5,557,0
1,0.068073204,0.093097484,6,610,0
0,0.085343143,0.058494615,3,700,0
1,0.046030824,0.127589454,6,632,0
2,0.055458815,0.12929555,6,697,0
0,0.057008492,0.024915105,3,645,0
4,0.067496171,0.267224705,0,584,1
0,0.073410002,0.073232668,3,607,0
1,0.048383801,0.129062573,4,618,0
1,0.04278732,0.116062975,6,666,0
1,0.073126079,0.098464959,5,732,0
3,0.052654568,0.189600225,6,630,0
1,0.084460502,0.11084868,6,621,0
1,0.072075853,0.108739956,5,698,0
5,0.060297779,0.268056928,4,572,1
1,0.067092315,0.081858538,7,641,0
2,0.058544724,0.181800285,2,542,0
2,0.067875358,0.174342166,5,647,0
1,0.062844504,0.101252416,7,670,0
2,0.057889453,0.113820986,5,503,0
2,0.058625049,0.116608282,7,711,0
1,0.060750698,0.102965035,5,782,0
0,0.07337946,0.066328733,2,672,0
1,0.085801596,0.09347574,6,586,0
5,0.081961703,0.297130013,3,599,1
5,0.058281455,0.258390461,4,552,1
4,0.068217231,0.229406895,3,515,1
0,0.072777263,0.065946043,5,574,0
5,0.068657231,0.270720846,4,625,1
1,0.075941544,0.096857411,7,769,0
1,0.059658202,0.07406501,9,741,0
0,0.071713465,0.024826765,4,632,0
0,0.066116994,0.079280468,5,669,0
0,0.067783056,0.068481757,3,649,0
1,0.049806718,0.101850782,6,698,0
0,0.070790951,0.05004969,6,724,0
0,0.073496687,0.107623962,2,674,0
0,0.05564468,0.081313343,5,601,0
0,0.06631613,0.074049327,5,659,0
0,0.049090787,0.054398544,5,571,0
1,0.069161597,0.109238933,5,626,0
0,0.061084907,0.042318417,7,784,0
0,0.059191337,0.015172214,2,634,0
0,0.0697863,0.122151498,2,577,0
2,0.05954499,0.158711253,1,716,0
0,0.05515269,0.048170098,5,659,0
1,0.034382762,0.09715542,5,657,0
5,0.038983111,0.288352476,6,520,1
0,0.067658744,0.069991595,6,650,0
1,0.066077359,0.122068399,6,746,0
0,0.044578871,0.082019679,6,691,0
0,0.080771714,0.090919969,2,728,0
0,0.044888111,0.062556767,2,689,0
5,0.069034918,0.291627216,2,558,1
0,0.055219132,0.037340899,6,674,0
1,0.070335906,0.075884697,5,660,0
1,0.063745774,0.134709938,0,581,0
0,0.05922952,0.077482325,4,665,0
3,0.05760398,0.178722864,5,659,0
0,0.054246313,0.067179506,4,525,0
5,0.055447697,0.269052314,5,602,1
4,0.048310746,0.218204291,7,606,0
0,0.066455002,0.051198217,5,699,0
0,0.043975427,0.046305999,5,596,0
3,0.048507741,0.197200359,4,497,1
1,0.060554653,0.133153984,5,687,0
2,0.075428622,0.15652131,5,727,0
2,0.050789247,0.131462232,9,669,0
1,0.043892947,0.097922325,5,610,0
1,0.041215945,0.14784511,3,576,0
1,0.050758934,0.114150373,4,743,0
1,0.043816505,0.071981059,8,537,0
1,0.075440351,0.133117102,3,652,0
5,0.054035881,0.340654384,4,635,1
0,0.06734878,0.048648268,4,573,0
3,0.059142504,0.164326957,7,746,0
3,0.060524242,0.200345218,5,730,0
3,0.071604248,0.221388442,0,584,1
0,0.06394234,0.02713627,6,653,0
5,0.05415207,0.283909846,2,594,1
1,0.075930307,0.095867996,5,668,0
1,0.060083141,0.105706504,6,665,0
0,0.039365753,0.015053079,5,656,0
1,0.054531104,0.13540106,5,685,0
5,0.063474529,0.319521765,4,634,1
2,0.042721278,0.107632698,6,512,0
0,0.066010458,0.107888866,3,670,0
0,0.042783214,0.01,6,642,0
0,0.063243649,0.033967974,4,671,0
1,0.069655494,0.103650038,5,678,0
1,0.050629721,0.072539654,7,664,0
0,0.051401045,0.021448303,6,650,0
0,0.053508197,0.027716612,4,615,0
1,0.056862276,0.116465602,6,645,0
0,0.076621068,0.068280467,5,644,0
0,0.061390718,0.111160412,3,591,0
0,0.050623301,0.072122193,5,617,0
5,0.053105917,0.284243765,4,506,1
2,0.042849665,0.131675559,6,640,0
0,0.059021941,0.113810561,3,734,0
1,0.066291131,0.078062974,6,691,0
1,0.045217687,0.107859128,5,699,0
3,0.067368474,0.166991072,4,578,0
0,0.051639681,0.01,7,667,0
0,0.041973618,0.080404468,6,826,0
1,0.069186188,0.113778028,6,693,0
5,0.075050507,0.332628374,5,596,1
1,0.063223857,0.096628758,7,713,0
1,0.069824071,0.099631483,5,690,0
2,0.065110657,0.171192876,1,563,0
0,0.061207203,0.01,3,600,0
0,0.056887298,0.057542175,2,693,0
2,0.063127624,0.166346266,3,627,0
0,0.057778486,0.061959692,4,594,0
5,0.054807965,0.287450489,3,613,1
5,0.0691158,0.247963312,6,698,1
0,0.069506751,0.081646139,3,668,0
0,0.073333977,0.028040386,2,666,0
0,0.052027646,0.018275726,5,735,0
0,0.04336127,0.05498766,6,722,0
0,0.070577467,0.031435358,6,624,0
1,0.04987036,0.120274801,5,733,0
2,0.046109112,0.168459569,4,677,0
0,0.057612906,0.075240427,4,702,0
0,0.051698358,0.053203761,3,622,0
0,0.065087665,0.081563347,4,636,0
0,0.062489874,0.024395512,6,652,0
0,0.064455226,0.093084807,4,737,0
0,0.062693344,0.094230279,3,623,0
1,0.052170984,0.093898405,5,598,0
5,0.06910354,0.287052549,5,653,1
1,0.061311012,0.182396181,1,566,0
0,0.068232919,0.051365051,5,619,0
0,0.060842511,0.038297354,7,731,0
2,0.071347214,0.080198378,8,647,0
1,0.063884998,0.063894668,4,636,0
0,0.053419205,0.055617911,3,587,0
4,0.073261402,0.241047433,2,593,1
1,0.054553942,0.094310432,6,684,0
0,0.059502765,0.069811085,5,593,0
0,0.072516475,0.036316558,2,675,0
0,0.054268437,0.053874183,5,642,0
0,0.059028905,0.042342953,6,597,0
5,0.049484378,0.289252267,5,661,1
0,0.051953452,0.077686799,3,693,0
1,0.053892505,0.059395465,7,608,0
5,0.046729559,0.305732057,3,549,1
1,0.081393321,0.109847261,4,791,0
0,0.059132488,0.071343657,4,608,0
4,0.051672296,0.239053032,4,626,1
0,0.059048526,0.085154357,3,620,0
0,0.069524609,0.091315069,5,661,0
0,0.047932585,0.088450792,4,680,0
1,0.039992656,0.099940318,6,628,0
1,0.063267315,0.123130291,3,668,0
0,0.044206346,0.096825976,4,629,0
3,0.060744039,0.172880493,5,656,0
0,0.06649999,0.072349217,6,631,0
1,0.040466817,0.109929526,7,651,0
0,0.053581352,0.095834375,4,552,0
0,0.05140557,0.081485527,6,701,0
0,0.071645063,0.088874983,0,684,0
1,0.043031674,0.083655816,6,616,0
0,0.067272581,0.077845052,3,700,0
5,0.072442024,0.288324317,2,690,1
2,0.05359332,0.147429023,4,633,0
1,0.066154018,0.096450249,7,666,0
5,0.055594445,0.333918209,3,559,1
0,0.062920006,0.046068896,6,630,0
0,0.061496993,0.044808551,8,537,0
0,0.061066843,0.01,3,700,0
0,0.059803,0.082255101,2,699,0
5,0.051100632,0.267545227,3,597,1
0,0.066846761,0.032756246,1,627,0
0,0.069670419,0.028292139,4,597,0
4,0.059240601,0.238914776,2,668,1
2,0.057541374,0.12417892,4,667,0
0,0.04647655,0.025408429,8,626,0
0,0.057339909,0.021436935,6,687,0
0,0.06477639,0.053022091,5,755,0
0,0.051144006,0.062606959,3,589,0
0,0.071396136,0.029389564,5,706,0
5,0.06869501,0.298454516,4,634,1
0,0.057876994,0.017181694,4,565,0
4,0.06354275,0.267579209,2,492,1
1,0.048451469,0.112694347,6,636,0
5,0.076510596,0.296179883,3,616,1
4,0.071824054,0.244655762,4,658,1
1,0.065135147,0.10714106,5,722,0
0,0.050426285,0.070567439,4,679,0
0,0.074293906,0.05498993,5,584,0
0,0.052008625,0.042160797,5,609,0
1,0.050179314,0.118487648,6,742,0
5,0.059957745,0.342497769,4,584,1
2,0.069327938,0.141150714,5,606,0
0,0.072725831,0.0823147,5,658,0
1,0.047879008,0.079821515,8,690,0
0,0.053499251,0.094386721,4,649,0
0,0.064315265,0.077887847,2,650,0
5,0.056191336,0.298617262,1,615,1
0,0.06542185,0.080773578,5,620,0
5,0.069393758,0.283771849,2,622,1
4,0.069140249,0.257768656,3,651,1
0,0.056082672,0.067508333,6,622,0
0,0.056597108,0.070523203,3,632,0
2,0.045693791,0.132348549,4,615,0
5,0.047813682,0.251005927,4,494,1
5,0.055278111,0.360181351,4,589,1
5,0.050566225,0.307263157,5,647,1
2,0.044520248,0.138406096,5,685,0
5,0.055594664,0.26886815,3,614,1
0,0.052661455,0.086528838,6,662,0
0,0.052348588,0.085117138,4,539,0
0,0.073345016,0.04778756,6,589,0
2,0.064744965,0.158926754,3,626,0
1,0.047252179,0.102609408,5,629,0
2,0.054467951,0.145499777,3,522,0
1,0.054072738,0.114941935,6,684,0
2,0.031652685,0.137952978,8,675,0
1,0.070747993,0.09159367,5,635,0
5,0.05421634,0.23455982,5,628,1
3,0.05982032,0.176124885,4,598,0
5,0.068661558,0.305117793,2,610,1
1,0.035688296,0.093266649,5,630,0
1,0.058928347,0.119130113,5,561,0
0,0.050549328,0.079055902,4,651,0
0,0.057798655,0.025145765,6,713,0
0,0.061554687,0.066583496,4,691,0
1,0.061722266,0.103127285,5,671,0
3,0.065656094,0.210711127,0,538,1
1,0.067850392,0.072230927,6,609,0
1,0.063470224,0.096545422,6,609,0
0,0.059625052,0.092494698,2,662,0
1,0.029720435,0.10594155,4,700,0
2,0.063894458,0.120879914,8,608,0
0,0.059221529,0.083175722,4,687,0
2,0.036903483,0.091488574,10,722,0
5,0.059192332,0.322080326,1,517,1
0,0.057978261,0.082132652,4,638,0
0,0.075253094,0.01,4,551,0
2,0.0673567,0.151844386,5,727,0
1,0.058243765,0.102893422,6,638,0
1,0.040771487,0.054019706,9,743,0
0,0.054240032,0.060549388,5,674,0
0,0.07102573,0.05445912,6,611,0
4,0.053039815,0.254677316,3,638,1
3,0.084061744,0.184596285,4,680,0
0,0.062603606,0.075964961,4,647,0
1,0.053694511,0.075775409,8,592,0
4,0.045860995,0.244077971,3,595,1
2,0.054536652,0.130405791,9,665,0
0,0.065931393,0.084807977,5,635,0
2,0.065598175,0.140640827,6,722,0
2,0.051949436,0.127283594,7,713,0
0,0.052139974,0.060004009,6,594,0
0,0.044382613,0.019460937,5,671,0
5,0.056316192,0.244989306,5,639,1
0,0.075205633,0.051232116,2,608,0
0,0.05468116,0.075221443,5,600,0
0,0.057087191,0.072214863,5,565,0
1,0.064125433,0.088087748,4,701,0
0,0.047392315,0.032339625,6,654,0
0,0.067317419,0.061310272,3,507,0
0,0.046876843,0.100080568,4,662,0
0,0.03384792,0.054193135,6,555,0
5,0.076265448,0.329999386,4,561,1
3,0.032910687,0.17988954,5,563,0
1,0.04849602,0.093814771,5,626,0
3,0.048960534,0.195806823,4,580,0
5,0.049291963,0.260521236,3,557,1
0,0.056205951,0.081008925,5,573,0
0,0.064429134,0.070566765,4,628,0
0,0.077828017,0.071539061,3,585,0
2,0.071890712,0.16312905,4,668,0
1,0.057070045,0.144149751,1,664,0
2,0.063075375,0.173353224,3,653,0
5,0.057601585,0.300486348,2,565,1
0,0.055875947,0.117724342,3,662,0
1,0.063286139,0.103428844,5,618,0
5,0.078651946,0.261013887,3,614,1
5,0.063551597,0.284483599,4,579,1
0,0.060456782,0.057308493,6,613,0
0,0.055529425,0.044743169,3,555,0
0,0.056813705,0.032154539,5,706,0
3,0.053361665,0.165451533,6,740,0
0,0.049124495,0.101307359,4,608,0
0,0.048766598,0.086999784,5,677,0
0,0.067374096,0.060000168,4,640,0
3,0.076180652,0.185230613,4,561,0
3,0.041304655,0.163236397,6,583,0
0,0.045804302,0.066918529,5,516,0
0,0.067113443,0.090506981,4,767,0
1,0.060134339,0.10915341,6,566,0
0,0.050036479,0.072591986,5,621,0
1,0.049104787,0.109347311,6,737,0
1,0.043574866,0.102445542,7,622,0
0,0.067816174,0.078868956,6,576,0
4,0.074310049,0.231279919,5,659,1
5,0.066294493,0.273369498,5,517,1
1,0.064484694,0.101190578,5,638,0
0,0.050573586,0.01,5,598,0
5,0.077594939,0.336156122,3,579,1
0,0.065059349,0.073618522,4,544,0
5,0.04869054,0.22104406,7,664,1
1,0.046141151,0.114513146,6,621,0
0,0.059767385,0.075819193,2,670,0
0,0.070059814,0.029596934,5,648,0
3,0.052432679,0.163096743,7,700,0
5,0.058550481,0.257043602,6,788,1
0,0.052901933,0.064365854,5,576,0
0,0.062079747,0.07367403,4,603,0
1,0.057109845,0.100147846,7,699,0
0,0.052624593,0.020111678,5,692,0
0,0.051615638,0.092853048,4,536,0
0,0.08453775,0.099128738,3,636,0
3,0.062874212,0.191842813,5,634,0
5,0.053128967,0.246471446,6,709,1
3,0.063644939,0.175100674,3,563,1
2,0.022452953,0.139044434,6,650,0
0,0.069369638,0.073629724,2,656,0
4,0.071519722,0.243637519,0,574,1
1,0.045029524,0.101230973,6,642,0
0,0.059811836,0.056014888,4,547,0
0,0.039991094,0.01,4,669,0
3,0.081496674,0.222038884,0,612,1
5,0.068193302,0.316363087,4,580,1
0,0.056638016,0.07204434,5,544,0
0,0.056229062,0.01,5,654,0
0,0.086029192,0.01,3,637,0
5,0.065268198,0.323300466,3,693,1
1,0.051478295,0.104540684,4,640,0
1,0.049287968,0.077045879,7,653,0
0,0.05406581,0.072225674,5,572,0
0,0.058033954,0.039207899,5,601,0
2,0.046783973,0.112606971,10,674,0
0,0.041549975,0.062824051,4,647,0
1,0.059629093,0.093814479,5,683,0
0,0.058213722,0.055392458,5,739,0
3,0.06827269,0.162873673,5,653,0
1,0.071144081,0.079253791,5,581,0
1,0.056947525,0.08785965,6,584,0
1,0.072638259,0.12575025,5,700,0
1,0.035918922,0.091029284,7,650,0
1,0.046395286,0.075544352,8,655,0
0,0.056827109,0.01,8,582,0
5,0.055449602,0.304643897,2,585,1
1,0.075424111,0.141529435,3,669,0
5,0.056439521,0.265708458,5,559,1
0,0.060423515,0.019868522,4,561,0
1,0.05639318,0.07566846,6,657,0
0,0.069371685,0.043956778,4,563,0
3,0.061799155,0.187420424,5,651,0
2,0.058620986,0.117767177,9,710,0
3,0.062468454,0.181734674,3,615,1
1,0.055280853,0.133919074,3,663,0
0,0.046664626,0.028982971,6,656,0
1,0.057973481,0.089126658,8,675,0
0,0.052326602,0.110906613,3,684,0
4,0.060055475,0.245648782,2,701,1
0,0.071613986,0.064463396,4,630,0
1,0.058005402,0.098767141,6,652,0
3,0.06527701,0.173231764,5,645,0
0,0.042715224,0.08661999,4,630,0
1,0.035947959,0.097295868,5,651,0
1,0.064058448,0.112734447,6,589,0
0,0.062943164,0.023476891,3,529,0
0,0.054932978,0.026908705,1,600,0
3,0.065112696,0.215413626,2,573,1
5,0.0511686,0.272610922,4,438,1
3,0.073594896,0.195514841,4,626,0
0,0.050034685,0.020304094,6,752,0
1,0.050850454,0.110199507,7,680,0
1,0.0527138,0.12187053,5,708,0
1,0.054011899,0.098847593,6,685,0
5,0.064974117,0.288641787,5,499,1
0,0.043833846,0.078347808,4,667,0
0,0.082320996,0.076303075,2,720,0
4,0.072115242,0.259956296,1,527,1
1,0.062302409,0.097946857,7,665,0
5,0.066374309,0.318717062,3,602,1
1,0.046891228,0.099491781,4,705,0
1,0.063431495,0.091509534,6,671,0
1,0.046704053,0.101185157,7,650,0
2,0.088164793,0.159190587,3,628,0
0,0.061638107,0.047650985,5,645,0
2,0.059882443,0.121313748,5,535,0
0,0.05866302,0.04839529,3,638,0
3,0.044735774,0.219824089,4,673,0
1,0.053238001,0.082869292,7,712,0
0,0.053145165,0.04307464,7,656,0
5,0.064318984,0.29550056,4,612,1
0,0.057344127,0.04575379,4,603,0
1,0.060528542,0.097852161,5,612,0
5,0.061697243,0.305694688,5,565,1
0,0.066864428,0.07254414,2,620,0
3,0.061855843,0.193689794,5,557,0
1,0.045462047,0.084865534,7,671,0
1,0.046573267,0.090417012,3,683,0
0,0.06016409,0.02943519,5,850,0
5,0.044426065,0.317098705,3,534,1
0,0.054451423,0.069632701,4,635,0
1,0.067155469,0.076077593,4,644,0
0,0.05780606,0.08319946,7,779,0
0,0.061750595,0.072140196,3,683,0
0,0.07709133,0.089847615,4,632,0
3,0.070042786,0.158276023,5,597,0
2,0.041349295,0.158708927,6,689,0
0,0.050901477,0.040891646,6,671,0
5,0.046127484,0.312007752,3,630,1
5,0.067315484,0.349710606,4,631,1
0,0.060932016,0.040135158,5,643,0
0,0.045889335,0.076448303,3,704,0
2,0.045571153,0.140518537,5,627,0
4,0.051478452,0.263184169,1,631,1
1,0.054146346,0.138710315,4,719,0
1,0.040812398,0.104589507,8,649,0
0,0.054466313,0.060285855,4,633,0
5,0.061378233,0.270674221,4,506,1
0,0.086689728,0.08912884,2,663,0
1,0.071404562,0.127412053,4,594,0
0,0.064889498,0.08617313,5,652,0
1,0.0490261,0.1014145,5,718,0
5,0.071123576,0.29318536,2,594,1
0,0.06141633,0.102937769,4,648,0
1,0.07784175,0.059364021,8,730,0
1,0.052143866,0.111538483,5,766,0
0,0.045142598,0.094780403,4,592,0
0,0.065027064,0.029292212,5,580,0
